Person ID,First name,Last name,Party,Constituency,URI,flastname,firstnamelastname,subdomain,user
25328,Catherine,West,Labour,Hornsey and Friern Barnet,https://www.theyworkforyou.com/mp/25328/catherine_west/hornsey_and_friern_barnet,cwest,catherinewest,https://cwest.caseworkermp.com,TRUE
26120,Andrew,Western,Labour,Stretford and Urmston,https://www.theyworkforyou.com/mp/26120/andrew_western/stretford_and_urmston,awestern,andrewwestern,https://awestern.caseworkermp.com,TRUE
25701,Matt,Western,Labour,Warwick and Leamington,https://www.theyworkforyou.com/mp/25701/matt_western/warwick_and_leamington,mwestern,mattwestern,https://mwestern.caseworkermp.com,TRUE
25398,Helen,Whately,Conservative,Faversham and Mid Kent,https://www.theyworkforyou.com/mp/25398/helen_whately/faversham_and_mid_kent,hwhately,helenwhately,https://hwhately.caseworkermp.com,TRUE
26551,Michael,Wheeler,Labour,Worsley and Eccles,https://www.theyworkforyou.com/mp/26551/michael_wheeler/worsley_and_eccles,mwheeler,michaelwheeler,https://mwheeler.caseworkermp.com,TRUE
26613,John,Whitby,Labour,Derbyshire Dales,https://www.theyworkforyou.com/mp/26613/john_whitby/derbyshire_dales,jwhitby,johnwhitby,https://jwhitby.caseworkermp.com,TRUE
26358,Jo,White,Labour,Bassetlaw,https://www.theyworkforyou.com/mp/26358/jo_white/bassetlaw,jwhite,jowhite,https://jwhite.caseworkermp.com,TRUE
26520,Katie,White,Labour,Leeds North West,https://www.theyworkforyou.com/mp/26520/katie_white/leeds_north_west,kwhite,katiewhite,https://kwhite.caseworkermp.com,TRUE
10632,John,Whittingdale,Conservative,Maldon,https://www.theyworkforyou.com/mp/10632/john_whittingdale/maldon,jwhittingdale,johnwhittingdale,https://jwhittingdale.caseworkermp.com,TRUE
25845,Nadia,Whittome,Labour,Nottingham East,https://www.theyworkforyou.com/mp/25845/nadia_whittome/nottingham_east,nwhittome,nadiawhittome,https://nwhittome.caseworkermp.com,TRUE
25866,James,Wild,Conservative,North West Norfolk,https://www.theyworkforyou.com/mp/25866/james_wild/north_west_norfolk,jwild,jameswild,https://jwild.caseworkermp.com,TRUE
26344,Max,Wilkinson,Liberal Democrat,Cheltenham,https://www.theyworkforyou.com/mp/26344/max_wilkinson/cheltenham,mwilkinson,maxwilkinson,https://mwilkinson.caseworkermp.com,TRUE
26397,David,Williams,Labour,Stoke-on-Trent North,https://www.theyworkforyou.com/mp/26397/david_williams/stoke-on-trent_north,dwilliams,davidwilliams,https://dwilliams.caseworkermp.com,TRUE
24729,Gavin,Williamson,Conservative,"Stone, Great Wyrley and Penkridge",https://www.theyworkforyou.com/mp/24729/gavin_williamson/stone%2C_great_wyrley_and_penkridge,gwilliamson,gavinwilliamson,https://gwilliamson.caseworkermp.com,TRUE
25820,Munira,Wilson,Liberal Democrat,Twickenham,https://www.theyworkforyou.com/mp/25820/munira_wilson/twickenham,mwilson,munirawilson,https://mwilson.caseworkermp.com,TRUE
11374,Sammy,Wilson,DUP,East Antrim,https://www.theyworkforyou.com/mp/11374/sammy_wilson/east_antrim,swilson,sammywilson,https://swilson.caseworkermp.com,TRUE
11333,Pete,Wishart,Scottish National Party,Perth and Kinross-shire,https://www.theyworkforyou.com/mp/11333/pete_wishart/perth_and_kinross-shire,pwishart,petewishart,https://pwishart.caseworkermp.com,TRUE
26583,Steve,Witherden,Labour,Montgomeryshire and Glyndŵr,https://www.theyworkforyou.com/mp/26583/steve_witherden/montgomeryshire_and_glynd%C5%B5r,switherden,stevewitherden,https://switherden.caseworkermp.com,TRUE
25362,Mike,Wood,Conservative,Kingswinford and South Staffordshire,https://www.theyworkforyou.com/mp/25362/mike_wood/kingswinford_and_south_staffordshire,mwood,mikewood,https://mwood.caseworkermp.com,TRUE
26552,Sean,Woodcock,Labour,Banbury,https://www.theyworkforyou.com/mp/26552/sean_woodcock/banbury,swoodcock,seanwoodcock,https://swoodcock.caseworkermp.com,TRUE
11791,Jeremy,Wright,Conservative,Kenilworth and Southam,https://www.theyworkforyou.com/mp/11791/jeremy_wright/kenilworth_and_southam,jwright,jeremywright,https://jwright.caseworkermp.com,TRUE
26615,Rosie,Wrighting,Labour,Kettering,https://www.theyworkforyou.com/mp/26615/rosie_wrighting/kettering,rwrighting,rosiewrighting,https://rwrighting.caseworkermp.com,TRUE
26484,Martin,Wrigley,Liberal Democrat,Newton Abbot,https://www.theyworkforyou.com/mp/26484/martin_wrigley/newton_abbot,mwrigley,martinwrigley,https://mwrigley.caseworkermp.com,TRUE
26600,Yuan,Yang,Labour,Earley and Woodley,https://www.theyworkforyou.com/mp/26600/yuan_yang/earley_and_woodley,yyang,yuanyang,https://yyang.caseworkermp.com,TRUE
25649,Mohammad,Yasin,Labour,Bedford,https://www.theyworkforyou.com/mp/25649/mohammad_yasin/bedford,myasin,mohammadyasin,https://myasin.caseworkermp.com,TRUE
26469,Steve,Yemm,Labour,Mansfield,https://www.theyworkforyou.com/mp/26469/steve_yemm/mansfield,syemm,steveyemm,https://syemm.caseworkermp.com,TRUE
26458,Claire,Young,Liberal Democrat,Thornbury and Yate,https://www.theyworkforyou.com/mp/26458/claire_young/thornbury_and_yate,cyoung,claireyoung,https://cyoung.caseworkermp.com,TRUE
25386,Daniel,Zeichner,Labour,Cambridge,https://www.theyworkforyou.com/mp/25386/daniel_zeichner/cambridge,dzeichner,danielzeichner,https://dzeichner.caseworkermp.com,TRUE
