Request URL,# Redirects,Status Code,URL,Error Message
http://abrewer.caseworkermp.com,1,302,http://abrewer.caseworkermp.com,
,,200,https://abrewer.caseworkermp.com/,
http://pbrickell.caseworkermp.com,1,302,http://pbrickell.caseworkermp.com,
,,200,https://pbrickell.caseworkermp.com/,
http://jbrownfuller.caseworkermp.com,1,302,http://jbrownfuller.caseworkermp.com,
,,200,https://jbrownfuller.caseworkermp.com/,
http://cbryant.caseworkermp.com,1,302,http://cbryant.caseworkermp.com,
,,200,https://cbryant.caseworkermp.com/,
http://jbuckley.caseworkermp.com,1,302,http://jbuckley.caseworkermp.com,
,,200,https://jbuckley.caseworkermp.com/,
http://aburghart.caseworkermp.com,1,302,http://aburghart.caseworkermp.com,
,,200,https://aburghart.caseworkermp.com/,
http://rburgon.caseworkermp.com,1,302,http://rburgon.caseworkermp.com,
,,200,https://rburgon.caseworkermp.com/,
http://mburke.caseworkermp.com,1,302,http://mburke.caseworkermp.com,
,,200,https://mburke.caseworkermp.com/,
http://dburtonsampson.caseworkermp.com,1,302,http://dburtonsampson.caseworkermp.com,
,,200,https://dburtonsampson.caseworkermp.com/,
http://dbutler.caseworkermp.com,1,302,http://dbutler.caseworkermp.com,
,,200,https://dbutler.caseworkermp.com/,
http://ibyrne.caseworkermp.com,1,302,http://ibyrne.caseworkermp.com,
,,200,https://ibyrne.caseworkermp.com/,
http://lbyrne.caseworkermp.com,1,302,http://lbyrne.caseworkermp.com,
,,200,https://lbyrne.caseworkermp.com/,
http://rcadbury.caseworkermp.com,1,302,http://rcadbury.caseworkermp.com,
,,200,https://rcadbury.caseworkermp.com/,
http://ncaliskan.caseworkermp.com,1,302,http://ncaliskan.caseworkermp.com,
,,200,https://ncaliskan.caseworkermp.com/,
http://acampbell.caseworkermp.com,1,302,http://acampbell.caseworkermp.com,
,,500,https://acampbell.caseworkermp.com/,
http://gcampbell.caseworkermp.com,1,302,http://gcampbell.caseworkermp.com,
,,500,https://gcampbell.caseworkermp.com/,
http://icampbell.caseworkermp.com,1,302,http://icampbell.caseworkermp.com,
,,200,https://icampbell.caseworkermp.com/,
http://jcampbell.caseworkermp.com,1,302,http://jcampbell.caseworkermp.com,
